EmployeeID,Name,hrs,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
18,Joshua Villarreal,6.48505577867,High,Excellent,Low,Very High,Better,37,No,Non-Travel,Research & Development,1,Bachelor,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15.0,2,5,0,2
19,Christopher Larson,8.6217324854975,Medium,Excellent,Medium,Medium,Good,35,No,Travel_Rarely,Sales,7,Master,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10.0,5,7,6,2
20,Janet Smith,7.072532351628611,High,Excellent,Low,Low,Better,38,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8.0,5,8,7,7
21,Jason Browning,5.622517849174445,High,Excellent,High,Medium,Bad,26,No,Travel_Frequently,Research & Development,1,Master,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6.0,3,6,1,4
22,Christopher Yang,7.828470548861945,Medium,Outstanding,Low,Medium,Good,50,No,Travel_Rarely,Sales,8,Master,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28.0,2,10,1,6
23,Jessica Novak,6.615643685854445,High,Excellent,High,High,Good,53,No,Travel_Rarely,Research & Development,11,Master,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,0,21.0,2,5,1,3
24,Paul Thompson,6.580408299866111,Low,Excellent,Medium,High,Better,42,No,Travel_Rarely,Research & Development,4,Master,Life Sciences,Male,1,Manufacturing Director,Married,89260,1.0,14,0,,4,20,11,6
25,Eric Moore,9.0612148594375,High,Excellent,Medium,Very High,Good,29,No,Travel_Frequently,Research & Development,16,Master,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10.0,2,10,0,9
26,Nicole Harmon,10.536275100401388,High,Excellent,Medium,Very High,Better,55,No,Travel_Rarely,Research & Development,1,Master,Other,Female,1,Research Scientist,Married,67990,3.0,11,0,12.0,2,10,0,8
27,Melissa Peterson,7.207425256581667,High,Outstanding,Low,Low,Better,26,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,Female,1,Manager,Married,162910,1.0,22,0,5.0,3,5,3,3
28,Gregory Valdez IV,10.713065595716111,High,Excellent,Very High,Very High,Better,37,No,Travel_Rarely,Sales,5,Below College,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,0,17.0,2,17,5,7
29,Curtis Brown,6.310013386880834,Medium,Excellent,Very High,High,Bad,44,Yes,Travel_Frequently,Research & Development,1,College,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19.0,2,1,0,0
30,Sara Aguilar,9.662807898259445,Medium,Excellent,Very High,Very High,Better,38,No,Travel_Rarely,Sales,2,Bachelor,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10.0,3,2,1,2
31,Mr. Kyle Ramsey,6.521040829986389,Medium,Excellent,Low,Medium,Better,26,Yes,Travel_Rarely,Research & Development,4,Bachelor,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5.0,5,3,0,2
32,Hayden Matthews,9.88458723784,Medium,Excellent,Very High,Very High,Better,28,No,Travel_Rarely,Research & Development,7,Bachelor,Other,Male,1,Human Resources,Single,96370,1.0,13,0,5.0,6,5,0,2
33,Emily Bradley,6.033902275769722,High,Excellent,High,Low,Better,49,No,Travel_Frequently,Research & Development,1,Below College,Medical,Female,2,Research Scientist,Single,35910,9.0,13,0,22.0,2,3,1,2
34,Daniel Harris,6.348326639892778,High,Excellent,High,Medium,Better,36,No,Travel_Rarely,Sales,5,Bachelor,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,0,10.0,2,8,7,7
35,Dr. Ian Watson,9.57092369477889,High,Excellent,Very High,Medium,Good,31,No,Travel_Frequently,Research & Development,9,Master,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2.0,4,2,2,2
36,Steven Ochoa,9.702093931280556,High,Excellent,Very High,Very High,Better,26,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,Male,2,Manager,Single,157870,1.0,12,2,8.0,5,8,7,4
37,Elijah Mahoney,5.5232954038375,High,Excellent,Medium,Very High,Good,37,No,Travel_Frequently,Sales,9,Below College,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4.0,3,4,1,2
38,Robert Ramirez,6.177288041053056,High,Excellent,High,Medium,Best,42,No,Travel_Frequently,Sales,2,College,Marketing,Male,3,Research Director,Married,29560,5.0,13,0,23.0,2,20,4,8
39,Eric Robinson,7.381318607764166,Medium,Excellent,High,High,Better,18,Yes,Travel_Rarely,Research & Development,1,Master,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0.0,3,0,0,0
40,Steve Baldwin,7.060059125390278,Medium,Excellent,High,Medium,Good,35,No,Travel_Rarely,Sales,20,College,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12.0,2,11,6,9
41,Erica Rich,7.167754350736111,Medium,Excellent,High,,Better,36,No,Travel_Frequently,Research & Development,8,Bachelor,Other,Female,3,Sales Executive,Married,69620,4.0,12,2,4.0,2,1,0,0
42,Benjamin Moore,6.757186523873056,Medium,Excellent,Very High,Medium,Better,51,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13.0,2,4,1,2
43,Cameron Townsend,6.755545515394722,High,Excellent,Very High,Medium,Better,41,No,Travel_Rarely,Research & Development,29,Below College,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22.0,6,22,0,4
44,Mr. Samuel Lynn,7.056963409192222,High,Excellent,Very High,High,Better,18,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,0,0.0,3,0,0,0
45,Benjamin Allen,6.913614457831111,Medium,Outstanding,Medium,Low,Better,28,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,Male,1,Sales Representative,Single,46480,0.0,23,2,9.0,2,8,0,7
46,David Evans,7.207423025435,High,Excellent,Medium,Very High,Good,31,No,Travel_Rarely,Research & Development,8,Below College,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10.0,2,8,7,7
47,Jessica Moody,7.455297858098889,High,Outstanding,High,Very High,Good,39,No,Travel_Rarely,Sales,5,Master,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,0,19.0,3,18,3,7
48,Kevin Lynn,6.358520749665278,High,Outstanding,Medium,Medium,Better,36,No,Non-Travel,Research & Development,5,Master,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,0,11.0,4,9,0,8
49,Michael Johnson,6.3239547077197225,High,Outstanding,Very High,High,Good,32,No,Travel_Rarely,Sales,2,Bachelor,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13.0,4,13,4,8
50,Ashley Carpenter,10.589165551093055,Medium,Excellent,Low,Medium,Better,38,No,Travel_Rarely,Research & Development,5,College,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19.0,4,10,0,1
51,Stephen Hall,8.685874609549167,Medium,Excellent,Very High,High,Better,58,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12.0,3,5,1,2
52,Kimberly Curry,6.557103971441111,Medium,Excellent,High,Very High,Better,31,No,Travel_Rarely,Research & Development,20,Below College,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,1,6.0,3,5,0,3
53,Matthew Reilly,6.934087460954722,High,Outstanding,Low,Low,Better,31,No,Travel_Rarely,Sales,7,Master,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,1,9.0,2,2,1,0
54,Taylor Long,8.43789045069139,High,Excellent,Low,Low,Better,45,No,Travel_Frequently,Research & Development,3,Below College,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24.0,6,24,9,11
55,Tara Curry,6.457864792503333,High,Excellent,High,Very High,Bad,31,No,Travel_Rarely,Sales,16,Master,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3.0,0,2,2,2
56,Timothy Dawson,10.80961624274861,High,Excellent,Very High,Medium,Better,33,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,1,12.0,3,10,8,8
57,Brian Lang,7.007448683623333,High,Outstanding,High,Low,Better,39,No,Travel_Rarely,Sales,1,Master,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,1,21.0,6,21,11,10
58,Joshua Baker,9.709125390450556,High,Excellent,High,Very High,Better,43,No,Travel_Frequently,Research & Development,7,Master,Medical,Male,4,Research Scientist,Single,24390,0.0,15,0,9.0,2,8,1,7
59,John Nichols,7.5880365908075,High,Outstanding,High,High,Better,49,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25.0,2,7,0,7
60,Wendy Sullivan,10.45810910307889,High,Excellent,High,Medium,Good,52,Yes,Travel_Rarely,Research & Development,7,Below College,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11.0,2,8,7,7
61,Christopher Vargas,10.074638554216667,High,Outstanding,High,Medium,Good,27,No,Travel_Rarely,Research & Development,15,Master,Medical,Male,3,Research Scientist,Single,39020,1.0,22,0,4.0,2,4,1,2
62,Michael Hernandez,9.341363230700557,Very High,Excellent,High,Medium,Better,32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,1,13.0,6,13,11,9
63,Melissa Fuller,6.447809013833056,Very High,Excellent,Very High,High,Better,27,No,Travel_Rarely,Research & Development,13,College,Medical,Female,4,Research Director,Single,28560,1.0,12,2,5.0,5,5,0,4
64,Trevor Jones,7.136569611780278,Very High,Excellent,Very High,Very High,Better,31,No,Travel_Rarely,Sales,24,Bachelor,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13.0,4,7,1,7
65,David Ruiz Jr.,10.641073181615278,High,Excellent,Low,Very High,Good,32,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10.0,2,7,0,7
66,Alexander Bowman,5.762560240963611,Medium,Excellent,Low,Very High,Good,28,Yes,Travel_Rarely,Research & Development,9,Master,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5.0,4,3,2,2
67,Katherine Bell,6.025345827755277,High,Excellent,Very High,Very High,Better,30,No,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,0,11.0,3,10,1,9
68,Amber Brown,5.5637918340025,Medium,Excellent,High,High,Better,31,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,Female,1,Manager,Married,97130,1.0,17,0,10.0,5,10,8,9
69,Ruth Nguyen,9.851604194555833,High,Excellent,High,Very High,Better,39,No,Travel_Frequently,Research & Development,19,Master,Medical,Female,1,Research Scientist,Married,20620,1.0,13,0,21.0,4,21,13,3
70,Karen Miller,7.212816822846666,High,Excellent,Very High,High,Good,39,Yes,Travel_Rarely,Research & Development,1,Below College,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12.0,0,1,0,0
71,Thomas Petty,6.337332663989167,High,Excellent,Medium,Very High,Good,33,No,Travel_Frequently,Sales,4,College,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,1,9.0,0,7,0,1
72,Latasha Lynn,5.945283355644722,Very High,Outstanding,Very High,High,Better,47,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21.0,4,3,1,1
73,Rebecca Banks,8.643457161981111,High,Excellent,High,High,Best,43,No,Travel_Frequently,Research & Development,14,Bachelor,Medical,Female,5,Research Director,Divorced,38860,1.0,17,2,9.0,2,9,0,0
74,Kevin Smith,5.681542838018611,High,Excellent,High,Medium,Better,27,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,0,6.0,3,5,1,4
75,Donald Smith,6.898489513609722,High,Excellent,Very High,High,Good,54,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,2,20.0,2,4,0,3
76,Kristine Stanton,6.900469656403334,High,Outstanding,High,Low,Good,43,No,Travel_Rarely,Research & Development,7,College,Life Sciences,Female,2,Manager,Married,65000,8.0,23,0,10.0,3,1,0,0
77,Ann Rodriguez,9.197425256581669,High,Excellent,Very High,Very High,Better,45,No,Travel_Rarely,Sales,3,Below College,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,1,12.0,6,10,9,8
78,Mark Woods,9.67827867023639,High,Excellent,Medium,Very High,Good,40,No,Travel_Rarely,Research & Development,2,Master,Other,Male,4,Research Scientist,Married,50330,2.0,14,2,6.0,6,4,0,2
79,Danielle Schultz,6.629551539491112,High,Excellent,Medium,Low,Good,29,Yes,Travel_Rarely,Research & Development,29,Bachelor,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7.0,0,7,0,7
80,Jeffrey Fowler,7.070961624274722,High,Outstanding,Medium,Very High,Better,29,No,Travel_Rarely,Human Resources,8,Bachelor,Medical,Male,3,Sales Representative,Single,25870,0.0,22,2,4.0,3,3,2,2
81,Frank Obrien,5.957641677822222,Medium,Excellent,Very High,High,Better,30,No,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10.0,2,10,1,2
82,Jacob Hunter,5.687801204819166,Medium,Excellent,Medium,Medium,Better,27,No,Travel_Rarely,Research & Development,11,College,Medical,Male,1,Manager,Married,43930,1.0,18,1,8.0,2,8,0,7
83,Justin Torres,8.730585676037222,High,Excellent,Very High,Very High,Good,37,No,Travel_Rarely,Sales,1,Master,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8.0,4,6,0,4
84,Shawn Fisher,9.965590138330834,High,Excellent,High,Very High,Better,38,No,Travel_Rarely,Research & Development,28,Master,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12.0,1,11,2,9
85,Candice Powell,8.219101963409166,High,Excellent,High,Very High,,31,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,Female,3,Manager,Single,81030,1.0,15,1,11.0,5,11,4,10
86,Robert Hester,7.4036345381525,High,Excellent,Very High,Medium,Better,29,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7.0,0,7,1,7
87,Michael Martin,6.762868139223333,Very High,Excellent,High,Medium,Better,35,No,Travel_Rarely,Sales,16,College,Technical Degree,Male,3,Manager,Single,25440,0.0,13,1,17.0,3,16,0,13
88,Gordon Nguyen,9.29953145917,Medium,Outstanding,High,Very High,Good,23,No,Travel_Rarely,Research & Development,20,Master,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4.0,2,4,0,2
89,Yolanda Miller,7.458285363676667,High,Excellent,Very High,Medium,Better,41,No,Travel_Rarely,Research & Development,9,College,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8.0,0,5,1,2
90,Christine Freeman,5.981423471664167,Very High,Excellent,Medium,High,Better,47,No,Travel_Frequently,Sales,1,Bachelor,Medical,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5.0,2,0,0,0
91,Joseph Thompson,5.900896921017222,Low,Outstanding,Low,Very High,Better,42,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,Male,1,Manager,Single,10910,2.0,22,0,16.0,0,1,0,0
92,Christopher Townsend,8.08675256581861,Medium,Outstanding,Very High,High,Good,29,No,Non-Travel,Sales,22,Master,Marketing,Male,2,Human Resources,Married,57360,1.0,22,0,4.0,1,4,0,2
93,Garrett Collins,7.164133199464445,Medium,Excellent,High,High,Better,42,No,Travel_Rarely,Sales,7,Master,Medical,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4.0,3,3,1,0
94,Nathan Zimmerman MD,6.847280232039167,High,Excellent,High,Medium,Better,32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,Male,2,Research Scientist,Married,57470,1.0,13,0,8.0,0,8,0,7
95,Nicholas Holland,10.711529451137778,Medium,Excellent,Low,High,Bad,48,No,Travel_Rarely,Sales,13,Master,Medical,Male,4,Sales Executive,Married,98540,3.0,16,1,15.0,2,0,0,0
96,Tyler York,10.234273761713334,High,Excellent,High,Low,Better,37,No,Travel_Rarely,Research & Development,8,Doctor,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13.0,2,7,6,7
97,Chad Reed,5.849885095939166,High,Outstanding,Very High,High,Best,30,No,Non-Travel,Sales,25,Master,Other,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4.0,0,2,2,2
98,Karen Lewis,5.867603748326389,High,Excellent,High,High,Better,26,No,Travel_Rarely,Sales,28,Bachelor,Medical,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8.0,3,8,7,7
99,Tracy Hoffman,7.970253235162778,High,Excellent,Low,Very High,Better,42,No,Travel_Rarely,Sales,2,College,Medical,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14.0,2,1,0,0
100,Samantha Baker,6.807350513163611,Medium,Excellent,Low,Medium,Better,21,Yes,Travel_Frequently,Research & Development,9,Bachelor,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3.0,5,3,1,2
101,Matthew Vaughn,6.791153502900277,Low,Outstanding,Very High,Very High,Better,36,No,Non-Travel,Human Resources,28,Bachelor,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7.0,4,1,0,0
102,Betty Meyers,5.971953369031667,High,Excellent,Low,Very High,Better,36,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,13,1,16.0,2,13,1,12
103,Timothy Kelley,7.606198125836666,Low,Excellent,Very High,High,Better,57,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,Male,5,Research Scientist,Married,191610,2.0,18,0,15.0,2,3,1,2
104,Jeremy Smith,7.344952030343333,High,Excellent,Very High,High,Better,40,No,Travel_Rarely,Research & Development,8,Bachelor,Other,Male,2,Sales Executive,Married,50870,3.0,14,1,10.0,3,7,1,7
105,Lori Schmidt,9.749403168228334,Low,Excellent,Low,Very High,Good,21,No,Non-Travel,Research & Development,1,Doctor,Life Sciences,Female,2,Manager,Single,28630,1.0,14,0,3.0,2,3,2,2
106,Brenda Williams MD,7.4154562695225,Low,Outstanding,Very High,High,Better,33,Yes,Travel_Rarely,Human Resources,28,College,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1.0,3,1,0,0
107,Jeffrey Rodriguez,5.588887773315278,Very High,Excellent,High,Low,Better,37,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,19,0,17.0,3,5,0,3
108,Jennifer Lucas,7.100332440874444,High,Excellent,High,High,Best,46,No,Non-Travel,Sales,2,Master,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7.0,3,1,0,0
109,Stephanie Forbes,6.364553770638056,Very High,Excellent,Low,Medium,Better,41,Yes,Travel_Frequently,Research & Development,16,Below College,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8.0,3,8,7,7
110,Erin Smith,8.735999553770556,High,Excellent,Very High,Very High,Better,50,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20.0,2,4,1,3
111,Melissa Day,10.675884649709722,Medium,Outstanding,High,High,Better,40,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8.0,2,6,1,0
112,Thomas Alvarado,5.537753235162778,High,Outstanding,,Medium,Better,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,4,Human Resources,Single,28670,0.0,24,0,3.0,5,2,2,2
113,Mr. Gary Miller,7.663491744756667,High,Excellent,High,Medium,Better,21,Yes,Travel_Rarely,Human Resources,10,College,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1.0,2,1,0,0
114,Emily Brown,7.314774654172222,Very High,Excellent,Very High,Very High,Better,29,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Female,2,Research Director,Single,66670,9.0,12,1,6.0,6,3,1,2
115,Janice Howard,5.816591923248334,High,Excellent,High,Medium,Better,35,No,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,Female,3,Sales Executive,Single,50030,9.0,15,0,10.0,2,1,0,0
116,David James,6.634467871485834,High,Excellent,Very High,Medium,Better,27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,Male,1,Sales Executive,Divorced,23670,,12,1,5.0,2,5,0,4
117,Eric Anderson,7.542354975457222,Medium,Excellent,Medium,Very High,Better,28,No,Travel_Rarely,Research & Development,2,College,Medical,Male,3,Manager,Single,28580,1.0,12,0,7.0,2,7,0,7
118,Clifford Scott,6.976801651048612,High,Excellent,Medium,High,Better,49,No,Travel_Rarely,Sales,2,Bachelor,Technical Degree,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26.0,3,5,0,0
119,John Hunter,5.640869031682223,High,Outstanding,High,Very High,Good,51,No,Travel_Rarely,Research & Development,1,College,Life Sciences,Male,1,Sales Executive,Married,41050,4.0,22,1,18.0,2,7,0,7
120,Jacob Harrison,8.600741856313888,High,Excellent,Very High,High,Better,36,No,Travel_Rarely,Sales,15,College,Life Sciences,Male,1,Sales Executive,Married,96790,4.0,12,0,6.0,1,2,2,2
121,Terry Wise,8.230750780901111,High,Outstanding,Low,Very High,Good,34,Yes,Non-Travel,Research & Development,7,Bachelor,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9.0,3,5,0,4
122,David Payne,9.230603525211944,High,Excellent,High,Very High,Better,55,No,Travel_Rarely,Sales,26,Bachelor,Marketing,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30.0,3,5,1,2
123,Lori King,6.401705711735556,High,Excellent,Very High,High,Best,24,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Female,5,Manager,Divorced,28970,1.0,18,3,5.0,4,5,0,3
124,Brittany Miller,6.7463688085675,High,Excellent,High,Medium,Better,30,No,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,Female,2,Manager,Married,59680,1.0,13,0,1.0,3,1,0,0
125,Anthony Russell,5.831803882195278,High,Excellent,High,,Better,26,Yes,Travel_Frequently,Sales,14,Bachelor,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7.0,3,6,0,4
126,Henry Thornton,6.0337817938419445,Medium,Excellent,Low,Medium,Better,22,No,Travel_Rarely,Research & Development,16,Doctor,Other,Male,1,Research Scientist,Married,29910,1.0,19,2,2.0,3,2,1,2
127,Tina Miller,7.89557675145,High,Excellent,Medium,High,Better,36,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10.0,3,10,9,0
128,Adam Shaffer,6.218881079875,Medium,Excellent,High,Very High,Better,30,Yes,Travel_Frequently,Sales,3,College,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3.0,2,1,0,0
129,Michael Potter,6.173039937527777,High,Excellent,Very High,Low,Good,37,No,Travel_Rarely,Research & Development,10,Below College,Technical Degree,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18.0,3,18,12,17
