EmployeeID,hrs,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Name
16,6.034225792056945,High,Excellent,High,Very High,Best,37,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,Nicholas Parker
17,10.881625390450557,Medium,Excellent,Very High,High,Best,21,No,Travel_Rarely,Research & Development,3,College,Life Sciences,1,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,Michael Chen
18,6.48505577867,High,Excellent,Low,Very High,Better,37,No,Non-Travel,Research & Development,1,Bachelor,Medical,1,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,Joshua Villarreal
19,8.6217324854975,Medium,Excellent,Medium,Medium,Good,35,No,Travel_Rarely,Sales,7,Master,Life Sciences,1,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,Christopher Larson
20,7.072532351628611,High,Excellent,Low,Low,Better,38,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,Janet Smith
21,5.622517849174445,High,Excellent,High,Medium,Bad,26,No,Travel_Frequently,Research & Development,1,Master,Other,1,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,Jason Browning
22,7.828470548861945,Medium,Outstanding,Low,Medium,Good,50,No,Travel_Rarely,Sales,8,Master,Life Sciences,1,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,Christopher Yang
23,6.615643685854445,High,Excellent,High,High,Good,53,No,Travel_Rarely,Research & Development,11,Master,Life Sciences,1,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,Jessica Novak
24,6.580408299866111,Low,Excellent,Medium,High,Better,42,No,Travel_Rarely,Research & Development,4,Master,Life Sciences,1,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,,4,20,11,6,Paul Thompson
25,9.0612148594375,High,Excellent,Medium,Very High,Good,29,No,Travel_Frequently,Research & Development,16,Master,Medical,1,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,Eric Moore
26,10.536275100401388,High,Excellent,Medium,Very High,Better,55,No,Travel_Rarely,Research & Development,1,Master,Other,1,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,Nicole Harmon
27,7.207425256581667,High,Outstanding,Low,Low,Better,26,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,Melissa Peterson
28,10.713065595716111,High,Excellent,Very High,Very High,Better,37,No,Travel_Rarely,Sales,5,Below College,Marketing,1,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,Gregory Valdez IV
29,6.310013386880834,Medium,Excellent,Very High,High,Bad,44,Yes,Travel_Frequently,Research & Development,1,College,Medical,1,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,Curtis Brown
30,9.662807898259445,Medium,Excellent,Very High,Very High,Better,38,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,Sara Aguilar
31,6.521040829986389,Medium,Excellent,Low,Medium,Better,26,Yes,Travel_Rarely,Research & Development,4,Bachelor,Medical,1,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,Mr. Kyle Ramsey
32,9.88458723784,Medium,Excellent,Very High,Very High,Better,28,No,Travel_Rarely,Research & Development,7,Bachelor,Other,1,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,Hayden Matthews
33,6.033902275769722,High,Excellent,High,Low,Better,49,No,Travel_Frequently,Research & Development,1,Below College,Medical,1,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,Emily Bradley
34,6.348326639892778,High,Excellent,High,Medium,Better,36,No,Travel_Rarely,Sales,5,Bachelor,Technical Degree,1,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,Daniel Harris
35,9.57092369477889,High,Excellent,Very High,Medium,Good,31,No,Travel_Frequently,Research & Development,9,Master,Medical,1,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,Dr. Ian Watson
36,9.702093931280556,High,Excellent,Very High,Very High,Better,26,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,1,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,Steven Ochoa
37,5.5232954038375,High,Excellent,Medium,Very High,Good,37,No,Travel_Frequently,Sales,9,Below College,Marketing,1,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,Elijah Mahoney
38,6.177288041053056,High,Excellent,High,Medium,Best,42,No,Travel_Frequently,Sales,2,College,Marketing,1,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,Robert Ramirez
39,7.381318607764166,Medium,Excellent,High,High,Better,18,Yes,Travel_Rarely,Research & Development,1,Master,Life Sciences,1,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,Eric Robinson
40,7.060059125390278,Medium,Excellent,High,Medium,Good,35,No,Travel_Rarely,Sales,20,College,Life Sciences,1,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,Steve Baldwin
41,7.167754350736111,Medium,Excellent,High,,Better,36,No,Travel_Frequently,Research & Development,8,Bachelor,Other,1,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,Erica Rich
42,6.757186523873056,Medium,Excellent,Very High,Medium,Better,51,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,1,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,Benjamin Moore
43,6.755545515394722,High,Excellent,Very High,Medium,Better,41,No,Travel_Rarely,Research & Development,29,Below College,Life Sciences,1,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,Cameron Townsend
44,7.056963409192222,High,Excellent,Very High,High,Better,18,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,1,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,Mr. Samuel Lynn
45,6.913614457831111,Medium,Outstanding,Medium,Low,Better,28,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,Benjamin Allen
46,7.207423025435,High,Excellent,Medium,Very High,Good,31,No,Travel_Rarely,Research & Development,8,Below College,Technical Degree,1,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,David Evans
47,7.455297858098889,High,Outstanding,High,Very High,Good,39,No,Travel_Rarely,Sales,5,Master,Marketing,1,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,Jessica Moody
48,6.358520749665278,High,Outstanding,Medium,Medium,Better,36,No,Non-Travel,Research & Development,5,Master,Life Sciences,1,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,Kevin Lynn
49,6.3239547077197225,High,Outstanding,Very High,High,Good,32,No,Travel_Rarely,Sales,2,Bachelor,Marketing,1,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,Michael Johnson
50,10.589165551093055,Medium,Excellent,Low,Medium,Better,38,No,Travel_Rarely,Research & Development,5,College,Life Sciences,1,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,Ashley Carpenter
51,8.685874609549167,Medium,Excellent,Very High,High,Better,58,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,1,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,Stephen Hall
52,6.557103971441111,Medium,Excellent,High,Very High,Better,31,No,Travel_Rarely,Research & Development,20,Below College,Technical Degree,1,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,Kimberly Curry
53,6.934087460954722,High,Outstanding,Low,Low,Better,31,No,Travel_Rarely,Sales,7,Master,Marketing,1,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,Matthew Reilly
54,8.43789045069139,High,Excellent,Low,Low,Better,45,No,Travel_Frequently,Research & Development,3,Below College,Medical,1,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,Taylor Long
55,6.457864792503333,High,Excellent,High,Very High,Bad,31,No,Travel_Rarely,Sales,16,Master,Marketing,1,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,Tara Curry
56,10.80961624274861,High,Excellent,Very High,Medium,Better,33,No,Travel_Frequently,Research & Development,9,Bachelor,Life Sciences,1,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,Timothy Dawson
57,7.007448683623333,High,Outstanding,High,Low,Better,39,No,Travel_Rarely,Sales,1,Master,Life Sciences,1,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,Brian Lang
58,9.709125390450556,High,Excellent,High,Very High,Better,43,No,Travel_Frequently,Research & Development,7,Master,Medical,1,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,Joshua Baker
59,7.5880365908075,High,Outstanding,High,High,Better,49,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,John Nichols
60,10.45810910307889,High,Excellent,High,Medium,Good,52,Yes,Travel_Rarely,Research & Development,7,Below College,Life Sciences,1,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,Wendy Sullivan
61,10.074638554216667,High,Outstanding,High,Medium,Good,27,No,Travel_Rarely,Research & Development,15,Master,Medical,1,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,Christopher Vargas
62,9.341363230700557,Very High,Excellent,High,Medium,Better,32,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,Michael Hernandez
63,6.447809013833056,Very High,Excellent,Very High,High,Better,27,No,Travel_Rarely,Research & Development,13,College,Medical,1,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,Melissa Fuller
64,7.136569611780278,Very High,Excellent,Very High,Very High,Better,31,No,Travel_Rarely,Sales,24,Bachelor,Life Sciences,1,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,Trevor Jones
65,10.641073181615278,High,Excellent,Low,Very High,Good,32,No,Travel_Rarely,Research & Development,7,Bachelor,Technical Degree,1,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,David Ruiz Jr.
66,5.762560240963611,Medium,Excellent,Low,Very High,Good,28,Yes,Travel_Rarely,Research & Development,9,Master,Medical,1,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,Alexander Bowman
67,6.025345827755277,High,Excellent,Very High,Very High,Better,30,No,Travel_Rarely,Research & Development,13,Bachelor,Life Sciences,1,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,Katherine Bell
68,5.5637918340025,Medium,Excellent,High,High,Better,31,No,Travel_Frequently,Research & Development,2,Below College,Life Sciences,1,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,Amber Brown
69,9.851604194555833,High,Excellent,High,Very High,Better,39,No,Travel_Frequently,Research & Development,19,Master,Medical,1,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,Ruth Nguyen
70,7.212816822846666,High,Excellent,Very High,High,Good,39,Yes,Travel_Rarely,Research & Development,1,Below College,Medical,1,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,Karen Miller
71,6.337332663989167,High,Excellent,Medium,Very High,Good,33,No,Travel_Frequently,Sales,4,College,Life Sciences,1,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,Thomas Petty
72,5.945283355644722,Very High,Outstanding,Very High,High,Better,47,No,Travel_Rarely,Research & Development,4,Bachelor,Life Sciences,1,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,Latasha Lynn
73,8.643457161981111,High,Excellent,High,High,Best,43,No,Travel_Frequently,Research & Development,14,Bachelor,Medical,1,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,Rebecca Banks
74,5.681542838018611,High,Excellent,High,Medium,Better,27,No,Non-Travel,Research & Development,2,Bachelor,Life Sciences,1,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,Kevin Smith
75,6.898489513609722,High,Excellent,Very High,High,Good,54,No,Travel_Frequently,Research & Development,1,Master,Life Sciences,1,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,Donald Smith
76,6.900469656403334,High,Outstanding,High,Low,Good,43,No,Travel_Rarely,Research & Development,7,College,Life Sciences,1,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,Kristine Stanton
77,9.197425256581669,High,Excellent,Very High,Very High,Better,45,No,Travel_Rarely,Sales,3,Below College,Marketing,1,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,Ann Rodriguez
78,9.67827867023639,High,Excellent,Medium,Very High,Good,40,No,Travel_Rarely,Research & Development,2,Master,Other,1,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,Mark Woods
79,6.629551539491112,High,Excellent,Medium,Low,Good,29,Yes,Travel_Rarely,Research & Development,29,Bachelor,Medical,1,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,Danielle Schultz
80,7.070961624274722,High,Outstanding,Medium,Very High,Better,29,No,Travel_Rarely,Human Resources,8,Bachelor,Medical,1,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,Jeffrey Fowler
81,5.957641677822222,Medium,Excellent,Very High,High,Better,30,No,Travel_Rarely,Research & Development,10,Bachelor,Life Sciences,1,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,Frank Obrien
82,5.687801204819166,Medium,Excellent,Medium,Medium,Better,27,No,Travel_Rarely,Research & Development,11,College,Medical,1,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,Jacob Hunter
83,8.730585676037222,High,Excellent,Very High,Very High,Good,37,No,Travel_Rarely,Sales,1,Master,Life Sciences,1,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,Justin Torres
84,9.965590138330834,High,Excellent,High,Very High,Better,38,No,Travel_Rarely,Research & Development,28,Master,Medical,1,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,Shawn Fisher
85,8.219101963409166,High,Excellent,High,Very High,,31,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,1,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,Candice Powell
86,7.4036345381525,High,Excellent,Very High,Medium,Better,29,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,Robert Hester
87,6.762868139223333,Very High,Excellent,High,Medium,Better,35,No,Travel_Rarely,Sales,16,College,Technical Degree,1,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,Michael Martin
88,9.29953145917,Medium,Outstanding,High,Very High,Good,23,No,Travel_Rarely,Research & Development,20,Master,Life Sciences,1,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,Gordon Nguyen
89,7.458285363676667,High,Excellent,Very High,Medium,Better,41,No,Travel_Rarely,Research & Development,9,College,Life Sciences,1,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,Yolanda Miller
90,5.981423471664167,Very High,Excellent,Medium,High,Better,47,No,Travel_Frequently,Sales,1,Bachelor,Medical,1,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,Christine Freeman
91,5.900896921017222,Low,Outstanding,Low,Very High,Better,42,No,Travel_Rarely,Research & Development,3,Master,Life Sciences,1,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,Joseph Thompson
92,8.08675256581861,Medium,Outstanding,Very High,High,Good,29,No,Non-Travel,Sales,22,Master,Marketing,1,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,Christopher Townsend
93,7.164133199464445,Medium,Excellent,High,High,Better,42,No,Travel_Rarely,Sales,7,Master,Medical,1,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,Garrett Collins
94,6.847280232039167,High,Excellent,High,Medium,Better,32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,1,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,Nathan Zimmerman MD
95,10.711529451137778,Medium,Excellent,Low,High,Bad,48,No,Travel_Rarely,Sales,13,Master,Medical,1,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,Nicholas Holland
96,10.234273761713334,High,Excellent,High,Low,Better,37,No,Travel_Rarely,Research & Development,8,Doctor,Technical Degree,1,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,Tyler York
97,5.849885095939166,High,Outstanding,Very High,High,Best,30,No,Non-Travel,Sales,25,Master,Other,1,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,Chad Reed
98,5.867603748326389,High,Excellent,High,High,Better,26,No,Travel_Rarely,Sales,28,Bachelor,Medical,1,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,Karen Lewis
99,7.970253235162778,High,Excellent,Low,Very High,Better,42,No,Travel_Rarely,Sales,2,College,Medical,1,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0,Tracy Hoffman
100,6.807350513163611,Medium,Excellent,Low,Medium,Better,21,Yes,Travel_Frequently,Research & Development,9,Bachelor,Medical,1,Female,4,Manufacturing Director,Single,178750,1.0,Y,12,8,0,3.0,5,3,1,2,Samantha Baker
101,6.791153502900277,Low,Outstanding,Very High,Very High,Better,36,No,Non-Travel,Human Resources,28,Bachelor,Human Resources,1,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0,Matthew Vaughn
102,5.971953369031667,High,Excellent,Low,Very High,Better,36,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,1,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12,Betty Meyers
103,7.606198125836666,Low,Excellent,Very High,High,Better,57,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,1,Male,5,Research Scientist,Married,191610,2.0,Y,18,8,0,15.0,2,3,1,2,Timothy Kelley
104,7.344952030343333,High,Excellent,Very High,High,Better,40,No,Travel_Rarely,Research & Development,8,Bachelor,Other,1,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7,Jeremy Smith
105,9.749403168228334,Low,Excellent,Low,Very High,Good,21,No,Non-Travel,Research & Development,1,Doctor,Life Sciences,1,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2,Lori Schmidt
106,7.4154562695225,Low,Outstanding,Very High,High,Better,33,Yes,Travel_Rarely,Human Resources,28,College,Human Resources,1,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0,Brenda Williams MD
107,5.588887773315278,Very High,Excellent,High,Low,Better,37,No,Travel_Rarely,Research & Development,5,Bachelor,Life Sciences,1,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3,Jeffrey Rodriguez
108,7.100332440874444,High,Excellent,High,High,Best,46,No,Non-Travel,Sales,2,Master,Marketing,1,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0,Jennifer Lucas
109,6.364553770638056,Very High,Excellent,Low,Medium,Better,41,Yes,Travel_Frequently,Research & Development,16,Below College,Medical,1,Female,1,Research Scientist,Single,28100,1.0,Y,11,8,0,8.0,3,8,7,7,Stephanie Forbes
110,8.735999553770556,High,Excellent,Very High,Very High,Better,50,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,1,Female,3,Laboratory Technician,Single,98880,6.0,Y,15,8,0,20.0,2,4,1,3,Erin Smith
111,10.675884649709722,Medium,Outstanding,High,High,Better,40,Yes,Travel_Rarely,Research & Development,8,Bachelor,Medical,1,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0,Melissa Day
112,5.537753235162778,High,Outstanding,,Medium,Better,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2,Thomas Alvarado
113,7.663491744756667,High,Excellent,High,Medium,Better,21,Yes,Travel_Rarely,Human Resources,10,College,Human Resources,1,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0,Mr. Gary Miller
114,7.314774654172222,Very High,Excellent,Very High,Very High,Better,29,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Female,2,Research Director,Single,66670,9.0,Y,12,8,1,6.0,6,3,1,2,Emily Brown
115,5.816591923248334,High,Excellent,High,Medium,Better,35,No,Travel_Rarely,Research & Development,29,Bachelor,Life Sciences,1,Female,3,Sales Executive,Single,50030,9.0,Y,15,8,0,10.0,2,1,0,0,Janice Howard
116,6.634467871485834,High,Excellent,Very High,Medium,Better,27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,1,Male,1,Sales Executive,Divorced,23670,,Y,12,8,1,5.0,2,5,0,4,David James
117,7.542354975457222,Medium,Excellent,Medium,Very High,Better,28,No,Travel_Rarely,Research & Development,2,College,Medical,1,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7,Eric Anderson
118,6.976801651048612,High,Excellent,Medium,High,Better,49,No,Travel_Rarely,Sales,2,Bachelor,Technical Degree,1,Male,2,Manufacturing Director,Single,52040,8.0,Y,14,8,1,26.0,3,5,0,0,Clifford Scott
119,5.640869031682223,High,Outstanding,High,Very High,Good,51,No,Travel_Rarely,Research & Development,1,College,Life Sciences,1,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7,John Hunter
120,8.600741856313888,High,Excellent,Very High,High,Better,36,No,Travel_Rarely,Sales,15,College,Life Sciences,1,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2,Jacob Harrison
121,8.230750780901111,High,Outstanding,Low,Very High,Good,34,Yes,Non-Travel,Research & Development,7,Bachelor,Life Sciences,1,Male,1,Sales Representative,Single,56170,8.0,Y,25,8,1,9.0,3,5,0,4,Terry Wise
