id_employee	name	involvement	performance	environment	satisfaction	life_balance	age	travel	department	distance_home	education	education_field	gender	job_level	role	marital_status	income	previous_companies	salary_hike	stock_option	total_working_years	training_ly	years_company	last_promotion	years_curr_manager
121	Terry Wise	High	Outstanding	Low	3	2	34	0	Research & Development	7	Bachelor	Life Sciences	Male	1	Sales Representative	3	1958.0	8	25	0	9	3	5	0	4
125	Anthony Russell	High	Excellent	High	3	2	26	0	Sales	14	Bachelor	Life Sciences	Male	2	Manager	3	1832.0	0	18	2	7	3	6	0	4
128	Adam Shaffer	Medium	Excellent	High	1	2	30	1	Sales	3	College	College	Marketing	3	Research Scientist	2	1128.0	9	19	0	3	2	1	0	0
148	Sarah Obrien	High	Excellent	Low	1	1	25	0	Research & Development	5	College	Life Sciences	Female	3	Laboratory Technician	3	1485.0	5	13	0	6	3	2	0	2
157	Dean Estrada	Medium	Excellent	Low	3	3	24	0	Research & Development	27	College	Medical	Male	1	Research Scientist	2	2170.0	1	17	0	6	0	5	1	4
158	James Willis	High	Outstanding	Very High	1	1	34	0	Research & Development	5	Bachelor	Medical	Male	2	Research Scientist	2	1679.0	0	20	0	3	3	2	1	0
164	Joseph Dominguez	Medium	Excellent	High	1	2	29	0	Research & Development	19	Master	Life Sciences	Male	3	Research Scientist	3	1282.0	5	16	0	6	4	2	1	1
165	Robert Howard	High	Excellent	Low	1	1	19	2	Research & Development	4	Bachelor	Bachelor	Medical	1	Sales Executive	2	1668.0	1	15	1	1	2	1	0	0
178	Debra Farley	Medium	Outstanding	Medium	3	1	33	0	Research & Development	10	Bachelor	Life Sciences	Female	4	Research Director	3	2434.0	7	22	2	15	2	7	7	7
179	Dustin Gilbert	High	Outstanding	Low	3	3	33	0	Sales	5	Master	Marketing	Male	2	Research Director	2	2175.0	7	25	0	8	5	4	1	3
182	Samantha Garrett	Medium	Excellent	Low	1	2	31	0	Research & Development	26	College	College	Medical	2	Sales Executive	2	1534.0	3	15	0	12	2	1	0	0
183	Willie Rodgers	Very High	Outstanding	Medium	3	2	34	0	Sales	17	Below College	Marketing	Male	1	Research Director	2	1331.0	9	22	0	11	5	3	0	2
186	Gail Torres	High	Excellent	High	1	3	22	0	Research & Development	7	Bachelor	Medical	Female	2	Laboratory Technician	2	1747.0	5	13	0	4	2	2	1	2
196	Carrie Walker	High	Excellent		3	4	26	0	Research & Development	2	Below College	Life Sciences	Female	2	Laboratory Technician	3	2263.0	0	12	2	8	3	7	1	0
200	Phillip Jacobs	Very High	Excellent	Medium	1	3	18	0	Research & Development	2	Bachelor	Bachelor	Technical Degree	1	Sales Executive	3	1673.0	1	18	1	0	4	0	0	0
206	Erin Bell	Low	Outstanding	High	1	3	26	1	Sales	1	Bachelor	Bachelor	Marketing	2	Manufacturing Director	1	1430.0	1	22	0	1	3	1	0	0
212	Kimberly Combs	Medium	Outstanding	Very High	3	1	32	0	Research & Development	7	College	Life Sciences	Female	2	Research Director	3	1634.0	8	22	0	6	4	4	1	2
222	Tyler Campbell	High	Outstanding	Low	4	2	24	0	Research & Development	2	Bachelor	Medical	Male	2	Research Scientist	2	1779.0	1	21	2	6	3	6	1	2
223	Cody Tyler	High	Excellent	Medium	1	3	30	2	Research & Development	10	Bachelor	Bachelor	Other	2	Healthcare Representative	3	1720.0	1	14	0	1	2	1	0	0
225	Patricia Knight	Medium	Excellent	Medium	4	4	31	0	Research & Development	9	Below College	Medical	Female	1	Sales Representative	2	1804.0	2	12	0	9	2	3	1	2
238	Matthew Sherman MD	High	Excellent	High	4	3	27	0	Sales	27	Bachelor	Life Sciences	Male	2	Research Scientist	3	1399.0	0	18	0	5	0	4	0	2
247	Manuel Douglas	High	Excellent	Low	1	3	45	2	Research & Development	22	Master	Master	Life Sciences	3	Research Director	3	1667.0	2	13	0	5	5	1	0	0
256	Ryan Davis	Medium	Excellent	Very High	1	3	20	2	Research & Development	1	Bachelor	Bachelor	Life Sciences	5	Sales Representative	3	1611.0	1	12	1	1	2	1	1	1
257	Theresa Bryan	High	Excellent	Low	5	3	33	0	Research & Development	15	Master	Medical	Female	1	Laboratory Technician	1	1853.0	1	11	1	10	3	10	9	7
268	Natalie Trujillo	Low	Excellent	Low	1	1	24	2	Research & Development	17	College	Life Sciences	Female	1	Healthcare Representative	3	1448.0	9	12	0	4	3	2	2	0
271	Christopher Haynes	Medium	Excellent	Medium	4	3	50	0	Research & Development	4	College	Medical	Male	4	Sales Representative	2	1897.0	3	14	2	18	2	4	1	3
283	Andrew Williams	Medium	Excellent	Low	3	3	28	0	Sales	2	Master	Life Sciences	Male	3	Research Scientist	3	1348.0	7	18	1	10	0	7	3	7
290	Jodi Ramos	High	Outstanding	High	1	3	42	0	Research & Development	10	Below College	Life Sciences	Female	1	Sales Executive	3	1423.0	6	21	0	7	3	2	2	2
305	Michael King	High	Excellent	Very High	4	1	33	0	Research & Development	1	College	Medical	Male	3	Laboratory Technician	2	1995.0	1	17	1	10	2	10	7	8
309	Curtis Black	High	Excellent	Medium	4	2	47	0	Research & Development	4	Bachelor	Life Sciences	Male	1	Research Director	3	1511.0	4	13	0	0	2	5	1	3
311	Jose Williams	High	Excellent	Very High	4	4	55	0	Human Resources	7	Bachelor	Human Resources	Male	4	Laboratory Technician	3	1818.0	5	12	2	24	2	5	1	4
316	Jacob Kelly	High	Excellent	Very High	3	1	26	0	Research & Development	15	College	Life Sciences	Male	2	Laboratory Technician	3	1474.0	6	19	0	6	2	4	1	2
328	Natasha Gardner	Medium	Excellent	High	1	1	23	0	Sales	2	Bachelor	Bachelor	Medical	4	Manufacturing Director	2	1735.0	1	18	0	1	2	0	0	0
332	Kristin Ortiz	Very High	Excellent	Medium	1	1	29	2	Sales	2	Master	Master	Marketing	4	Research Scientist	3	1450.0	1	13	0	1	2	1	0	0
334	Jeremy Mosley	Medium	Excellent	Low	4	3	33	2	Research & Development	23	Doctor	Life Sciences	Male	1	Human Resources	2	1411.0	5	16	0	6	3	3	0	2
338	Alyssa Ball	High	Excellent	Very High	4	2	58	0	Research & Development	24	Bachelor	Other	Female	2	Research Scientist	2	2657.0	7	17	2	40	2	31	13	8
341	Angela Contreras	Medium	Excellent	High	1	2	28	2	Research & Development	19	Master	Medical	Female	2	Sales Executive	2	1612.0	6	16	0	5	4	2	2	1
350	Caitlin Murray PhD	Very High	Excellent	High	4	3	49	0	Sales	7	College	Life Sciences	Female	2	Healthcare Representative	3	2075.0	1	14	2	9	2	9	7	7
351	Patrick Gonzalez PhD	Very High	Excellent	High	4	3	55	0	Human Resources	16	Bachelor	Technical Degree	Male	4	Manufacturing Director	2	1872.0	4	11	2	12	3	9	7	3
357	Cathy Green	High	Outstanding	High	4	1	26	0	Research & Development	22	Master	Other	Female	1	Sales Executive	2	1336.0	1	23	1	8	2	8	1	7
379	Shannon Stevens	Very High	Excellent	Very High	4	4	35	0	Sales	8	College	Marketing	Female	1	Laboratory Technician	2	2243.0	1	13	1	10	2	10	7	8
388	Kevin Kelley	High	Excellent	Medium	4	2	29	2	Sales	3	Bachelor	Marketing	Male	3	Laboratory Technician	2	1571.0	6	12	0	5	2	3	0	2
399	Carrie Bennett	Medium	Excellent	Low	1	3	32	1	Research & Development	10	Below College	Below College	Medical	1	Laboratory Technician	2	1504.0	1	15	0	1	5	1	0	1
403	Eric Young	High	Excellent	Very High	1	1	58	2	Sales	10	College	College	Technical Degree	1	Sales Executive	3	1367.0	9	11	0	3	3	1	0	0
405	John Miller	Low	Excellent	High	1	3	20	1	Research & Development	11	Bachelor	Medical	Male	2	Sales Executive	2	1467.0	1	12	0	2	6	2	0	2
406	Bruce Brown	High	Excellent		1	2	21	2	Research & Development	1	Bachelor	Bachelor	Medical	2	Sales Executive	1	1617.0	1	13	0	1	2	1	0	0
409	Christine Jones	High	Excellent	Medium	3	4	22	2	Research & Development	15	Master	Life Sciences	Female	1	Laboratory Technician	3	1650.0	0	13	0	4	3	3	0	2
410	Gail Parker	Very High	Excellent	Medium	4	3	41	0	Research & Development	23	Bachelor	Life Sciences	Female	2	Sales Executive	2	1484.0	4	11	2	10	3	7	1	0
412	Ms. Brittney Mitchell	High	Excellent	Very High	1	1	39	1	Research & Development	10	Master	Life Sciences	Female	4	Human Resources	2	1699.0	7	11	0	8	3	2	2	2
426	Ryan Rogers	Medium	Excellent	High	1	4	25	0	Research & Development	1	College	College	Life Sciences	1	Sales Executive	2	1614.0	1	15	0	1	3	1	0	0
431	Lance Evans	High	Excellent	Very High	1	3	19	1	Research & Development	18	Bachelor	Life Sciences	Male	2	Research Scientist	2	1665.0	1	15	0	1	3	1	0	0
432	Ms. Joan Murray	High	Excellent	Low	1	2	20	0	Research & Development	34	Bachelor	Bachelor	Life Sciences	3	Laboratory Technician	3	1496.0	1	11	0	1	2	1	0	0
436	Lee Long	High	Excellent	High	4	4	36	0	Research & Development	10	Bachelor	Medical	Male	3	Sales Executive	3	2130.0	1	12	2	16	2	16	3	7
438	Brandy Brown	Medium	Excellent	Low	5	3	37	0	Sales	10	Master	Marketing	Female	3	Human Resources	3	1439.0	5	14	2	17	3	14	11	7
443	Anna Andrews	Low	Excellent	Very High	1	4	58	2	Sales	10	College	College	Medical	4	Sales Executive	2	1578.0	4	14	0	7	2	1	0	0
449	Brendan Johnson	High	Excellent	Medium	1	2	40	0	Research & Development	2	Master	Master	Life Sciences	1	Human Resources	1	1674.0	4	15	0	22	2	1	0	0
452	Jeffery French	High	Outstanding	High	3	1	31	2	Research & Development	28	Master	Medical	Male	2	Research Scientist	2	1469.0	0	21	0	4	2	3	1	2
454	Michael Wright	Medium	Excellent	Very High	1	2	29	2	Human Resources	3	Doctor	Doctor	Life Sciences	1	Sales Executive	3	1500.0	6	11	0	3	2	0	0	0
463	Brian Walsh	Medium	Excellent	Low	4	3	30	0	Sales	2	Bachelor	Life Sciences	Male	2	Healthcare Representative	3	1798.0	4	12	0	7	5	5	0	1
468	Matthew Gonzalez	Medium	Excellent	High	4	2	35	0	Sales	24	Bachelor	Medical	Male	3	Healthcare Representative	3	1347.0	1	13	2	5	1	4	0	2
474	Jessica Brown	High	Excellent	Very High	1	3	20	0	Research & Development	2	College	College	Life Sciences	2	Research Scientist	3	1650.0	1	17	0	1	3	1	0	0
475	George Manning	High	Excellent	Medium	3	1	30	1	Research & Development	8	Master	Medical	Male	1	Sales Executive	1	1864.0	0	11	0	4	3	3	1	2
487	Edward Barr	Very High	Excellent	Low	1	2	37	0	Sales	18	Bachelor	Marketing	Male	2	Laboratory Technician	1	1720.0	5	11	1	15	2	1	0	0
491	Brittany Bonilla	Medium	Excellent	Medium	1	2	26	2	Research & Development	21	Below College	Life Sciences	Female	1	Manufacturing Director	2	1723.0	8	17	0	7	4	2	2	2
492	Rachel Jensen	Very High	Excellent	Low	3	4	52	0	Research & Development	5	Master	Medical	Female	4	Human Resources	1	2207.0	1	13	2	33	2	32	6	9
495	Isaac Ramirez	High	Excellent	High	4	2	36	0	Sales	2	Master	Technical Degree	Male	4	Sales Executive	3	2536.0	1	18	2	18	3	17	15	14
504	Brittany Turner	High	Excellent	Low	1	1	36	1	Research & Development	8	College	College	Life Sciences	1	Research Scientist	3	1529.0	7	12	0	9	3	1	0	0
505	Austin Anderson	High	Excellent	Low	4	2	26	2	Sales	2	Bachelor	Life Sciences	Male	2	Research Scientist	2	1989.0	6	14	0	6	2	3	1	2
519	Robert Smith	Medium	Outstanding	Very High	1	1	20	2	Sales	8	Bachelor	Marketing	Male	3	Sales Executive	2	1673.0	1	20	0	2	3	2	0	2
520	James Villanueva	High	Excellent	High	1	2	21	0	Research & Development	1	Master	Master	Life Sciences	1	Manager	3	1548.0	1	18	1	1	2	1	1	0
522	Regina Meyers	High	Outstanding	Low	5	2	51	0	Sales	23	Bachelor	Medical	Female	2	Research Scientist	1	1839.0	9	20	1	18	2	10	2	7
523	Jessica Ward	Medium	Excellent	Medium	3	3	28	0	Research & Development	19	Master	Life Sciences	Female	4	Laboratory Technician	1	2087.0	1	17	2	10	4	10	1	9
532	Sarah Williams	High	Excellent	Medium	4	2	44	0	Research & Development	18	Master	Life Sciences	Female	2	Sales Executive	3	2090.0	9	15	2	24	3	20	3	6
534	Andrew Lane	Medium	Outstanding	Very High	4	3	35	0	Sales	7	Master	Life Sciences	Male	3	Sales Representative	1	2292.0	0	21	1	9	3	8	4	7
535	Patricia Smith	High	Excellent	Low	4	2	33	0	Research & Development	1	College	Life Sciences	Female	1	Sales Executive	3	2106.0	1	19	2	14	3	13	3	8
539	Sonya Jacobs	Medium	Excellent	Very High	3	3	25	0	Human Resources	25	Master	Human Resources	Female	2	Research Scientist	2	1956.0	1	12	2	7	3	7	5	6
540	Richard Baker	Very High	Excellent	Low	1	4	26	2	Sales	9	College	College	Marketing	2	Sales Executive	1	1735.0	1	15	0	1	3	1	0	0
541	Jeffrey Smith	High	Excellent	Low	1	2	33	2	Research & Development	8	College	Life Sciences	Male	4	Manufacturing Director	1	1542.0	4	13	0	5	2	2	2	2
543	Robert Miles	High	Excellent	Low	1	2	28	0	Research & Development	8	Bachelor	Bachelor	Life Sciences	2	Manager	2	1559.0	1	14	0	1	3	1	0	0
544	Justin Anderson	High	Excellent	Very High	1	2	50	2	Research & Development	1	Master	Master	Medical	2	Research Scientist	2	1407.0	3	14	0	5	3	0	0	0
556	Michael Frey	High	Excellent	Low	3	3	39	0	Sales	1	Bachelor	Marketing	Male	2	Healthcare Representative	3	2221.0	7	14	2	21	2	18	11	5
571	William Morton	Very High	Excellent	High	1	1	18	1	Research & Development	2	Master	Master	Medical	3	Laboratory Technician	3	1749.0	1	18	0	0	5	0	0	0
572	Andrew Hernandez	Medium	Excellent	Low	4	3	33	0	Research & Development	3	College	Life Sciences	Male	1	Sales Executive	3	1814.0	0	14	0	6	2	5	0	3
574	Tammy Nelson	Very High	Excellent	High	1	1	31	1	Sales	10	Bachelor	Technical Degree	Female	1	Research Director	3	1471.0	1	17	0	2	3	2	2	2
579	George Holmes	Low	Excellent	Very High	4	2	29	0	Research & Development	6	Bachelor	Life Sciences	Male	1	Sales Executive	3	1642.0	1	12	2	11	5	11	3	10
581	Phillip Harvey MD	Low	Excellent	High	4	2	42	0	Sales	2	Master	Life Sciences	Male	1	Laboratory Technician	3	2149.0	0	16	2	22	3	21	13	14
585	Austin Ross	Low	Excellent	High	1	3	28	2	Research & Development	18	Master	Life Sciences	Male	2	Sales Executive	3	1659.0	1	13	0	1	3	1	0	0
592	Bridget Crawford	High	Excellent	Low	4	3	43	0	Sales	5	Bachelor	Marketing	Female	3	Research Scientist	2	1920.0	8	15	0	7	3	4	1	3
600	Danny Charles	Low	Excellent	High	4	3	44	0	Human Resources	6	College	Human Resources	Male	3	Sales Executive	3	1928.0	1	13	0	6	2	6	0	2
603	Howard Good	Medium	Outstanding	High	1	2	22	0	Research & Development	26	Master	Master	Medical	1	Sales Representative	3	1483.0	0	24	0	1	5	0	0	0
607	Joseph Payne	Very High	Excellent	Low	1	2	41	2	Research & Development	14	Bachelor	Bachelor	Life Sciences	2	Sales Representative	3	1624.0	6	16	1	5	2	1	0	0
614	Nathan Baker	High	Excellent	Very High	1	4	24	0	Human Resources	33	Master	Master	Human Resources	3	Manufacturing Director	2	1538.0	1	19	0	1	5	1	0	0
635	Gary Kane	High	Excellent	Low	1	2	19	0	Sales	2	College	College	Other	3	Healthcare Representative	2	1754.0	1	18	1	1	2	1	0	0
654	Scott Wilkinson	High	Excellent	High	1	2	25	2	Research & Development	1	Below College	Below College	Life Sciences	1	Manufacturing Director	2	1685.0	1	11	0	1	3	1	1	0
656	Christopher Ramirez	High	Excellent	Low	4	1	45	0	Human Resources	12	Bachelor	Human Resources	Male	2	Laboratory Technician	2	2211.0	2	11	2	26	3	24	1	11
658	Charlotte Li	High	Excellent	Low	1	1	21	0	Research & Development	20	College	Medical	Female	4	Research Scientist	2	1477.0	1	14	0	2	2	2	2	2
671	Holly Barron	High	Excellent	Low	5	3	44	0	Research & Development	21	Master	Life Sciences	Female	2	Laboratory Technician	3	2328.0	1	19	2	10	3	10	0	5
675	Lauren Smith	High	Excellent	Medium	3	4	29	0	Research & Development	29	Master	Technical Degree	Female	1	Sales Representative	3	1538.0	3	13	1	10	4	7	7	7
682	Mary Ryan	High	Excellent	Very High	5	4	32	0	Research & Development	5	Bachelor	Technical Degree	Female	1	Sales Executive	1	2174.0	1	13	1	10	3	10	1	1
683	Daniel Hayes	Medium	Outstanding	High	4	3	39	0	Research & Development	18	College	Life Sciences	Male	2	Laboratory Technician	3	1526.0	0	20	2	6	3	5	0	3
689	Robert Jones	Medium	Excellent	Very High	4	3	40	0	Sales	8	Below College	Other	Male	1	Laboratory Technician	3	2035.0	2	13	2	9	1	5	1	0
690	Jerry Turner	High	Excellent	Medium	3	2	52	0	Research & Development	3	College	Technical Degree	Male	3	Laboratory Technician	3	1466.0	9	19	2	10	1	8	7	7
695	Robert Miller	High	Excellent	Very High	4	4	31	2	Research & Development	3	Below College	Life Sciences	Male	1	Sales Executive	2	1765.0	1	14	0	3	3	3	2	2
696	Mr. Christopher Lawrence	High	Excellent	Low	4	1	44	1	Sales	5	Bachelor	Life Sciences	Male	1	Laboratory Technician	2	1638.0	4	11	0	10	2	3	1	2
709	Jesse Pace	Very High	Excellent	High	3	3	58	0	Sales	1	Master	Technical Degree	Male	2	Sales Executive	2	1430.0	7	13	1	31	3	10	5	9
718	Christopher Owens	Very High	Excellent	Low	5	2	55	0	Research & Development	19	Bachelor	Technical Degree	Male	1	Human Resources	3	2315.0	6	14	2	24	0	19	3	8
723	Crystal Riley	Low	Excellent	High	1	2	31	0	Research & Development	2	College	College	Medical	2	Manufacturing Director	1	1486.0	7	17	0	3	2	1	0	0
724	Darryl Gardner	High	Excellent	Very High	4	3	35	0	Research & Development	1	College	Medical	Male	1	Manufacturing Director	3	2205.0	0	13	2	5	2	4	3	2
728	William Vazquez	Medium	Excellent	Very High	4	2	31	0	Research & Development	15	College	Life Sciences	Male	2	Sales Executive	3	2022.0	1	15	1	10	3	10	6	7
740	Jamie Young	Very High	Excellent	Very High	3	3	27	0	Research & Development	2	Doctor	Life Sciences	Female	1	Research Scientist	2	1998.0	1	18	2	8	3	8	7	7
749	Erica Ruiz	High	Excellent	Low	3	3	49	0	Sales	6	Doctor	Medical	Female	2	Healthcare Representative	2	1411.0	3	18	0	20	2	4	1	3
750	Angela Harrison	High	Excellent	High	5	2	29	0	Sales	3	College	Marketing	Female	2	Laboratory Technician	1	2454.0	0	15	2	9	2	8	7	7
755	George Johnson	High	Excellent	Medium	1	2	31	0	Sales	4	Bachelor	Bachelor	Life Sciences	2	Manager	3	1578.0	1	19	0	1	3	1	0	0
759	William Cooper	Low	Excellent	Low	1	1	31	0	Sales	24	Bachelor	Technical Degree	Male	1	Research Scientist	2	1614.0	1	14	0	1	2	1	0	0
764	Jose Henderson	Medium	Excellent	Low	3	2	25	0	Sales	16	Master	Life Sciences	Male	2	Research Scientist	2	1719.0	3	19	0	6	3	3	2	2
774	Andrew Zhang	High	Excellent	Low	5	4	46	0	Research & Development	18	Below College	Medical	Male	1	Manufacturing Director	2	2260.0	4	11	1	28	2	7	4	3
775	James Spencer	Medium	Excellent	Low	1	1	39	2	Research & Development	2	Master	Master	Medical	2	Manufacturing Director	3	1698.0	2	15	1	11	1	1	0	0
776	Matthew Barton	High	Excellent	High	3	3	31	0	Sales	2	Bachelor	Medical	Male	2	Sales Executive	3	1904.0	1	13	2	10	3	10	4	7
779	Ian Garcia	High	Outstanding	Medium	1	1	31	1	Research & Development	7	Master	Life Sciences	Male	1	Laboratory Technician	3	1667.0	6	23	0	7	5	2	2	2
782	Richard Aguilar	High	Excellent	Low	1	1	34	2	Research & Development	7	Master	Medical	Male	2	Research Scientist	1	1493.0	1	16	0	2	3	2	2	2
799	Thomas Russell	High	Outstanding	Low	4	2	28	2	Research & Development	2	Bachelor	Medical	Male	1	Research Scientist	2	1395.0	3	20	0	5	5	3	1	2
800	Carolyn Wang	High	Excellent	Low	4	3	29	0	Research & Development	28	Bachelor	Medical	Female	5	Research Scientist	3	1899.0	0	17	0	7	1	5	0	0
801	James Barnes	High	Excellent	Low	4	4	34	0	Research & Development	7	Below College	Medical	Male	1	Research Scientist	2	2759.0	0	15	1	16	2	15	10	10
803	Donald Gonzales	Medium	Excellent	Medium	1	3	24	2	Sales	3	Bachelor	Bachelor	Life Sciences	2	Research Scientist	3	1670.0	2	17	0	4	3	0	0	0
811	Brandon West	High	Excellent	High	1	1	28	1	Sales	1	Bachelor	Bachelor	Marketing	2	Laboratory Technician	2	1262.0	7	12	1	8	3	0	0	0
820	Lauren Silva	High	Excellent	Low	4	2	29	0	Research & Development	5	Bachelor	Life Sciences	Female	2	Research Scientist	3	2391.0	6	17	1	11	2	9	0	7
826	Harold Wilson	Very High	Excellent	Very High	4	1	40	0	Research & Development	2	Bachelor	Medical	Male	2	Research Director	3	1979.0	3	15	0	15	3	5	1	0
828	Ann Moran	Medium	Excellent	Very High	4	4	31	0	Research & Development	29	Bachelor	Life Sciences	Female	2	Healthcare Representative	3	1451.0	1	14	1	7	3	7	7	7
849	Gregory Hubbard	High	Excellent	Medium	5	4	30	0	Research & Development	1	Bachelor	Other	Male	3	Sales Executive	2	2473.0	1	13	1	10	2	10	6	7
853	Megan Franklin	Low	Excellent	Low	1	2	35	2	Research & Development	2	Bachelor	Bachelor	Medical	1	Research Scientist	3	1455.0	1	13	1	1	2	1	0	0
854	Andrew Jones	High	Outstanding	High	4	2	53	0	Research & Development	19	Bachelor	Life Sciences	Male	2	Manager	3	2075.0	0	25	2	34	2	33	1	9
855	Melissa Morgan	Medium	Excellent	High	4	3	38	0	Research & Development	2	Bachelor	Medical	Female	3	Sales Executive	3	1809.0	4	19	0	7	3	5	1	4
879	Nicole Miranda	High	Excellent	High	1	1	28	2	Human Resources	1	Bachelor	Bachelor	Medical	2	Laboratory Technician	3	1427.0	1	16	1	1	2	1	0	0
896	Kyle Silva	Medium	Excellent	Medium	1	4	18	1	Research & Development	3	Doctor	Doctor	Medical	1	Research Director	1	1443.0	1	12	0	0	2	0	0	0
905	Sean Mendez	High	Excellent	Very High	3	3	35	0	Research & Development	2	Bachelor	Life Sciences	Male	3	Healthcare Representative	2	1663.0	9	12	1	15	0	13	6	0
910	Roberto Cook	Low	Excellent		1	4	35	0	Research & Development	9	Bachelor	Life Sciences	Male	2	Manager	3	1614.0	6	12	0	7	3	2	2	2
914	Robert Allen MD	High	Excellent	Low	3	2	40	0	Sales	16	Master	Marketing	Male	1	Research Director	2	1712.0	3	16	2	10	0	4	0	3
929	John Obrien	Medium	Excellent	Very High	3	3	35	0	Research & Development	17	Master	Medical	Male	1	Research Director	3	1949.0	3	11	2	13	3	11	6	7
944	Amanda Navarro	High	Excellent	Very High	4	4	23	0	Human Resources	6	Bachelor	Life Sciences	Female	3	Laboratory Technician	3	1821.0	1	12	0	5	3	5	1	2
947	Nathan Wright	Low	Excellent	Very High	5	3	48	0	Sales	10	College	Marketing	Male	1	Healthcare Representative	3	2346.0	2	12	2	19	3	9	7	7
948	Michael Peterson	High	Excellent	Very High	1	3	32	1	Sales	1	Bachelor	Bachelor	Life Sciences	2	Research Scientist	3	1504.0	1	19	0	1	2	1	0	0
956	Mr. Christopher Flowers	High	Excellent	High	4	2	23	2	Research & Development	12	College	Medical	Male	2	Research Scientist	3	1834.0	1	14	0	3	2	3	0	2
965	Nicole Flores	Medium	Excellent	Very High	1	2	24	0	Sales	7	College	College	Medical	2	Manager	2	1332.0	1	12	0	1	2	1	0	0
966	Valerie Griffin	High	Excellent	High	4	3	47	0	Research & Development	1	Bachelor	Medical	Female	2	Sales Executive	3	2428.0	7	11	2	25	1	23	14	10
979	Brian Lynch	High	Outstanding	Medium	1	1	36	2	Research & Development	1	Bachelor	Medical	Male	2	Manufacturing Director	1	1652.0	5	20	0	16	3	2	2	2
980	Veronica Vang	High	Excellent	Low	1	2	32	1	Research & Development	31	Bachelor	Bachelor	Medical	2	Research Director	2	1432.0	6	13	1	10	3	0	0	0
989	Ruth Kaufman	High	Excellent	High	4	2	30	0	Research & Development	10	Bachelor	Life Sciences	Female	1	Human Resources	3	1379.0	6	14	0	6	4	4	1	2
992	Dennis White	High	Excellent	Medium	1	1	29	2	Sales	4	Bachelor	Marketing	Male	5	Research Scientist	3	1726.0	1	13	0	2	3	2	2	2
998	Christopher Orozco	Low	Excellent	Low	1	3	33	0	Research & Development	12	Bachelor	Life Sciences	Male	1	Sales Executive	2	1681.0	2	13	1	11	3	0	0	0
1000	William Watson	High	Excellent	Low	1	3	31	0	Human Resources	10	Master	Master	Human Resources	2	Laboratory Technician	3	1603.0	2	14	0	10	2	1	0	0
1005	Rick Bauer	High	Excellent	High	1	3	43	2	Research & Development	1	Master	Master	Other	3	Sales Executive	2	1670.0	9	12	0	6	3	1	0	0
